state,state_name,year,elec_price_cents_kwh,commercial_customers,gas_price_per_gallon,level2_ports,dcfast_ports,total_ports,chargers_per_100k,dcfast_share,charger_price_penalty,population,median_income,median_age,pct_drive_alone,pct_bachelors,pct_no_vehicle,ln_median_income,ln_population
MD,Maryland,2019,9.97,256165,2.9101876675603218,4450,510,4960,82.40779630919405,0.1028225806451613,8.265576359999404,6018848.0,84805.0,38.7,0.8280955958888528,0.14811987277299576,0.0075570939821042165,11.34810978230594,15.61040643684669
MD,Maryland,2020,9.72,256738,2.5147453083109923,4460,510,4970,82.31714992520237,0.10261569416498995,8.468842584897363,6037624.0,87063.0,38.8,0.8070527108947751,0.15031128139148778,0.007452434931357103,11.374387273506388,15.613521115034334
MD,Maryland,2021,10.26,257947,3.3605898123324396,4460,510,4970,80.83213182956293,0.10261569416498995,7.878375421984691,6148545.0,91431.0,38.9,0.7799081210618056,0.15191171244579002,0.00739687194287429,11.423339868427764,15.631726026426115
MD,Maryland,2022,12.65,260799,4.406166219839141,4460,510,4970,80.65946660560134,0.10261569416498995,6.376242419415125,6161707.0,98461.0,39.1,0.7603555018395198,0.15465130036205876,0.007711661719715008,11.49741580966931,15.63386440751132
ME,Maine,2018,12.51,96066,3.120643431635389,956,144,1100,82.5322081942478,0.13090909090909092,6.597298816486635,1332813.0,55425.0,44.6,0.8813207752696767,0.14268468269742268,0.00747216601278649,10.922786034484512,14.102802304248707
ME,Maine,2019,12.83,99738,2.923592493297587,1084,340,1424,106.62737028750452,0.23876404494382023,8.31078490159817,1335492.0,57918.0,44.7,0.8813411504707633,0.14583464371183055,0.007221308701212736,10.96678349607667,14.104810321248394
ME,Maine,2020,12.56,97575,2.462466487935657,1236,416,1652,123.20772658624354,0.25181598062953997,9.809532371516205,1340825.0,59489.0,44.8,0.8640685113659861,0.14897246098484143,0.0074633154960565325,10.993546700492846,14.108795654120854
ME,Maine,2021,12.9,98304,3.347184986595174,1384,456,1840,135.5886241144368,0.24782608695652175,10.510746055382699,1357046.0,63182.0,44.7,0.8403102516302435,0.154197425879447,0.007769080782817974,11.05377472944226,14.120820836547557
ME,Maine,2022,15.4,106211,4.50804289544236,1384,456,1840,134.6063386417489,0.24782608695652175,8.740671340373304,1366949.0,68251.0,44.8,0.8218765387886655,0.1570892549758623,0.008026634497702547,11.130947364954519,14.128091807036462
MI,Michigan,2018,11.15,543261,2.843163538873995,4213,1441,5654,56.78138904109149,0.25486381322957197,5.092501259290716,9957488.0,54938.0,39.7,0.9124267424107557,0.11847134538349431,0.009050475380939449,10.913960555637539,16.113835388915444
MI,Michigan,2019,11.39,544690,2.7091152815013406,4565,1518,6083,61.04202948943154,0.24954792043399637,5.359265100037888,9965265.0,57144.0,39.7,0.9114666638605943,0.12120390175273814,0.008988722327002844,10.953329676834809,16.114616104351207
